,MAE,MSE,RMSE,R2
Linear Regression,2.6174971040275454,13.627998983060362,3.6916119762321125,0.11854606899734121
Random Forest Regressor,2.530622009569378,11.928433492822965,3.4537564321797456,0.22847333595915575
Gradient Boosting Regressor,2.499656133474865,11.498506549819272,3.3909447871971126,0.25628085153247004
